Name,Description,Category,Parent,Content Type ID,Column Name,Column Type,Column Required
,,,,,Company,Single line of text,False
,,,,,Country/Region,Single line of text,False
,,,,,E-Mail,Single line of text,False
,,,,,Fax Number,Single line of text,False
,,,,,First Name,Single line of text,False
,,,,,Full Name,Single line of text,False
,,,,,Home Phone,Single line of text,False
,,,,,Job Title,Single line of text,False
,,,,,Last Name,Single line of text,True
,,,,,Mobile Number,Single line of text,False
,,,,,State/Province,Single line of text,False
,,,,,Web Page,Hyperlink or Picture,False
,,,,,ZIP/Postal Code,Single line of text,False
Content Freshness,Used to create a dynamic page related to contentfreshness.,Document Content Types,Site Page,0x0101009D1CB255DA76424F860D91F20E6C411800C57E7DC123744954AACC08D1D5260154,Author Byline,Person or Group,False
,,,,,Authoring Canvas Content,Publishing HTML,False
,,,,,Banner Image URL,Hyperlink or Picture,False
